Manufacturer,Model,Mode,Power (W),AM Process,General Material Type,Specific Material Type,X (in),Y (in),Z (in),Price (USD),Availability
Click for Details,SLM Solutions,SLM 280 HL,,1000,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Cobalt, Aluminum, Nickel",11.02,11.02,13.78,"$500,000 - $999,999",Discontinued
Click for Details,SLM Solutions,SLM 280 HL (2015 Release),,400,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Cobalt, Aluminum, Nickel",11.02,11.02,13.78,"$500,000 - $999,999",Discontinued
Click for Details,SLM Solutions,SLM 280 HL (2015 Release),,1000,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Cobalt, Aluminum, Nickel",11.02,11.02,13.78,"$500,000 - $999,999",Discontinued
Click for Details,SLM Solutions,SLM 280 HL (2015 Release),Dual lasers,400,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Cobalt, Aluminum, Nickel",11.02,11.02,13.78,"$500,000 - $999,999",Discontinued
Click for Details,SLM Solutions,SLM 500 HL,,400,Powder Bed Fusion (e.g. SLS),Metal,,19.69,11.02,12.6,"Greater than $1,000,000",Discontinued
Click for Details,SLM Solutions,SLM 500 HL,,1000,Powder Bed Fusion (e.g. SLS),Metal,,19.69,11.02,12.6,"Greater than $1,000,000",Discontinued
Click for Details,SLM Solutions,SLM 500 HL (2015 Release),Dual lasers,400,Powder Bed Fusion (e.g. SLS),Metal,,19.69,11.02,12.6,"Greater than $1,000,000",Discontinued
Click for Details,SLM Solutions,SLM 500 HL (2015 Release),Quad Lasers,"400, 1000",Powder Bed Fusion (e.g. SLS),Metal,,19.69,11.02,12.6,"Greater than $1,000,000",Discontinued
Click for Details,SLM Solutions,SLM 500 HL (2015 Release),Quad Lasers,400,Powder Bed Fusion (e.g. SLS),Metal,,19.69,11.02,12.6,"Greater than $1,000,000",Discontinued
Click for Details,Solidscape (A Prodways Company),3Z Lab,,,Material Jetting,Wax,Wax-like,6,6,2,"Less than $49,999",Discontinued
Click for Details,Solidscape (A Prodways Company),3Z Pro,,,Material Jetting,Wax,Wax-like,6,6,4,"Less than $49,999",Discontinued
Click for Details,Solidscape (A Prodways Company),3Z Studio,,,Material Jetting,Wax,Wax-like,6,6,2,"Less than $49,999",Discontinued
Click for Details,Solidscape (A Prodways Company),Max2,,,Material Jetting,Wax,Wax-like,6,6,4,"Less than $49,999",Discontinued
Click for Details,Stratasys,CrownWorx,,,Material Extrusion (e.g. FDM),Wax,Wax,6,6,2,"Less than $49,999",Discontinued
Click for Details,Stratasys,Dimension 1200es,BST (Breakaway Support Technology),,Material Extrusion (e.g. FDM),Polymer,ABS,10,10,12,"Less than $49,999",Discontinued
Click for Details,Stratasys,Dimension 1200es,SST (Soluble Support Technology),,Material Extrusion (e.g. FDM),Polymer,ABS,10,10,12,"Less than $49,999",Discontinued
Click for Details,Stratasys,Dimension Elite,SST (Soluble Support Technology),,Material Extrusion (e.g. FDM),Polymer,ABS,8,8,12,"Less than $49,999",Discontinued
Click for Details,Stratasys,Fortus 250mc,,,Material Extrusion (e.g. FDM),Polymer,ABS,10,10,12,"Less than $49,999",Discontinued
Click for Details,Stratasys,Fortus 360mc,Base,,Material Extrusion (e.g. FDM),Polymer,"ABS, ABS/PP, ASA, PEI, PC",14,10,10,"$50,000 - $99,999",Discontinued
Click for Details,Stratasys,Fortus 360mc,Upgrade,,Material Extrusion (e.g. FDM),Polymer,"ABS, ABS/PP, ASA, PEI, PC",16,14,16,"$50,000 - $99,999",Discontinued
Click for Details,Stratasys,Fortus 400mc,Base,,Material Extrusion (e.g. FDM),"Composite, Polymer","ABS, ABS/PP, ASA, PEI, PC, PPS",14,10,10,"$100,000 - $249,999",Discontinued
Click for Details,Stratasys,Fortus 400mc,Upgrade,,Material Extrusion (e.g. FDM),"Composite, Polymer","ABS, ABS/PP, ASA, PEI, PC, PPS",16,14,16,"$100,000 - $249,999",Discontinued
Click for Details,Stratasys,Fortus 900mc,Base,,Material Extrusion (e.g. FDM),"Composite, Polymer","ABS, ABS/PP, ASA, PEI, PC, PPS, PA",36,24,36,"$250,000 - $499,999",Discontinued
Click for Details,Stratasys,FrameWorx,,,Material Extrusion (e.g. FDM),Wax,Wax,6,6,2,"Less than $49,999",Discontinued
Click for Details,Stratasys,Objet Eden250,High Quality (HQ),,Material Jetting,Polymer,"Acrylic, PP-like",9.84,9.84,7.87,"Less than $49,999",Discontinued
Click for Details,Stratasys,Objet Eden250,High Speed (HS),,Material Jetting,Polymer,"Acrylic, PP-like",9.84,9.84,7.87,"Less than $49,999",Discontinued
Click for Details,Stratasys,Objet Eden260V,High Quality (HQ),,Material Jetting,Polymer,"Acrylic, PP-like, Rubber-like",10.04,9.92,7.87,"$50,000 - $99,999",Discontinued
Click for Details,Stratasys,Objet Eden260V,High Speed (HS),,Material Jetting,Polymer,"Acrylic, PP-like, Rubber-like",10.04,9.92,7.87,"$50,000 - $99,999",Discontinued
Click for Details,Stratasys,Objet Eden260V Dental Advantage,,,Material Jetting,Polymer,,10.24,10.24,7.9,"$50,000 - $99,999",Discontinued
Click for Details,Stratasys,Objet Eden350V,,,Material Jetting,Polymer,"Acrylic, PP-like, Rubber-like",13.4,13.4,7.9,"$100,000 - $249,999",Discontinued
Click for Details,Stratasys,Objet Eden500V,High Quality (HQ),,Material Jetting,Polymer,"Acrylic, PP-like, Rubber-like",19.29,15.35,7.87,"$100,000 - $249,999",Discontinued
Click for Details,Stratasys,Objet Eden500V,High Speed (HS),,Material Jetting,Polymer,"Acrylic, PP-like, Rubber-like",19.29,15.35,7.87,"$100,000 - $249,999",Discontinued
Click for Details,Stratasys,Objet1000,Digital Material (DM),,Material Jetting,Polymer,"ABS-like, Acrylic, PP-like, Rubber-like",39.3,31.4,19.6,"$500,000 - $999,999",Discontinued
Click for Details,Stratasys,Objet1000,High Quality (HQ),,Material Jetting,Polymer,"ABS-like, Acrylic, PP-like, Rubber-like",39.3,31.4,19.6,"$500,000 - $999,999",Discontinued
Click for Details,Stratasys,Objet1000,High Speed (HS),,Material Jetting,Polymer,"ABS-like, Acrylic, PP-like, Rubber-like",39.3,31.4,19.6,"$500,000 - $999,999",Discontinued
Click for Details,Stratasys,Objet260 Connex,,,Material Jetting,Polymer,"ABS-like, Acrylic, PP-like, Rubber-like",10,9.9,7.9,"$100,000 - $249,999",Discontinued
Click for Details,Stratasys,Objet260 Connex2,Digital material,,Material Jetting,Polymer,"ABS-like, Acrylic, PP-like, Rubber-like",10.039376,9.921265,7.87402,"$100,000 - $249,999",Discontinued
Click for Details,Stratasys,Objet260 Connex2,High quality,,Material Jetting,Polymer,"ABS-like, Acrylic, PP-like, Rubber-like",10.039376,9.921265,7.87402,"$100,000 - $249,999",Discontinued
Click for Details,Stratasys,Objet260 Connex2,High speed,,Material Jetting,Polymer,"ABS-like, Acrylic, PP-like, Rubber-like",10.039376,9.921265,7.87402,"$100,000 - $249,999",Discontinued
Click for Details,Stratasys,Objet350 Connex,Digital Material (DM),,Material Jetting,Polymer,"ABS-like, Acrylic, PP-like, Rubber-like",13.4,13.4,7.9,"$100,000 - $249,999",Discontinued
Click for Details,Stratasys,Objet350 Connex,High Quality (HQ),,Material Jetting,Polymer,"ABS-like, Acrylic, PP-like, Rubber-like",13.4,13.4,7.9,"$100,000 - $249,999",Discontinued
Click for Details,Stratasys,Objet350 Connex,High Speed (HS),,Material Jetting,Polymer,"ABS-like, Acrylic, PP-like, Rubber-like",13.4,13.4,7.9,"$100,000 - $249,999",Discontinued
Click for Details,Stratasys,Objet350 Connex1,Digital material,,Material Jetting,Polymer,"ABS-like, Acrylic, PP-like, Rubber-like",13.385834,13.385834,7.87402,"$100,000 - $249,999",Discontinued
Click for Details,Stratasys,Objet350 Connex1,High quality,,Material Jetting,Polymer,"ABS-like, Acrylic, PP-like, Rubber-like",13.385834,13.385834,7.87402,"$100,000 - $249,999",Discontinued
Click for Details,Stratasys,Objet350 Connex1,High speed,,Material Jetting,Polymer,"ABS-like, Acrylic, PP-like, Rubber-like",13.385834,13.385834,7.87402,"$100,000 - $249,999",Discontinued
Click for Details,Stratasys,Objet350 Connex2,Digital material,,Material Jetting,Polymer,"ABS-like, Acrylic, PP-like, Rubber-like",13.385834,13.385834,7.87402,"$100,000 - $249,999",Discontinued
